67,36,105
126,121,29
542,110,199
172,106,17
25,639,174
89,391,82
110,67,143
9,28,68
76,97,9
67,97,4
268,405,33
250,159,109
110,108,17
232,63,283
23,126,4
28,2,16
257,60,146
107,40,194
22,342,34
726,926,24
369,191,49
200,47,45
260,261,254
32,7,375
137,618,34
268,424,783
295,839,115
113,112,43
71,7,4
525,88,15
40,429,18
35,2,23
122,66,17
619,201,42
217,108,51
110,482,68
159,223,858
245,636,203
40,117,70
28,583,34
2,88,525
66,25,38
66,2,69
556,799,567
2,40,22
9,333,52
489,323,390
21,30,28
422,890,3
137,119,121
2,28,306
108,12,99
126,233,34
440,94,111
184,323,143
25,383,84
142,21,50
76,66,69
51,425,1146
505,184,1
60,40,17
189,623,56
7,112,0
97,16,211
522,68,9
70,300,318
28,114,16
161,9,50
25,796,12
25,796,80
432,84,199
7,673,34
589,342,12
496,137,116
230,67,643
180,137,56
105,49,87
180,144,17
32,652,16
505,184,3
31,109,156
15,97,99
7,333,299
557,7,73
32,652,52
17,36,13
108,160,45
249,225,70
349,55,68
537,93,225
869,159,360
116,98,15
110,40,17
93,468,133
113,52,45
60,134,136
116,248,38
261,268,231
50,2,161
183,160,66
126,66,75
171,69,20
266,854,25
27,56,36
78,25,1
90,737,36
93,468,96
295,839,876
171,26,66
197,16,15
250,159,158
27,33,13
503,504,668
9,516,61
66,451,34
57,327,34
2,35,578
57,137,199
110,63,665
440,520,16
144,3,298
62,35,69
40,44,65
189,89,56
663,388,231
40,44,113
35,225,345
109,48,23
2,35,423
161,97,38
984,985,788
75,32,299
7,3,15
108,116,73
391,106,108
40,41,99
62,200,566
109,193,1
4,108,191
109,125,81
450,1020,73
2,17,121
35,41,36
51,35,241
27,276,148
108,58,57
15,31,414
40,145,116
36,67,588
16,371,99
58,144,4
772,519,73
63,2,1032
114,334,73
687,237,104
542,66,75
86,21,991
113,112,306
292,41,17
110,97,53
66,33,148
62,70,23
262,25,74
51,425,1105
739,89,282
192,40,16
4,15,17
108,208,945
122,58,4
56,32,302
25,217,17
44,77,53
119,0,116
543,7,16
34,6,284
9,60,1233
606,377,810
106,126,61
106,479,17
162,25,444
292,41,4
110,40,80
40,56,4
130,23,125
21,277,34
586,137,16
67,84,34
9,185,833
5,361,66
261,297,203
110,25,4
35,109,147
30,618,17
338,505,4
556,228,115
104,31,161
137,923,4
225,15,153
253,134,78
11,16,38
522,68,393
575,459,46
52,290,15
211,478,84
47,49,26
21,86,165
60,9,61
40,542,183
67,110,424
268,51,670
67,189,17
3,446,4
46,66,157
5,49,15
16,115,125
53,54,310
331,2,126
502,478,68
222,795,506
344,819,943
172,692,108
9,114,65
212,114,68
473,84,52
3,40,158
520,620,280
66,60,17
659,89,520
192,27,4
5,6,15
25,33,565
880,881,465
398,40,736
28,75,50
106,9,17
261,25,73
457,253,29
102,103,4
76,69,85
90,6,9
2,35,1160
86,35,388
6,250,686
217,175,57
118,4,66
118,24,17
179,251,377
155,152,4
304,398,1
326,290,334
309,66,25
2,12,394
89,623,73
100,101,225
35,88,479
46,15,155
743,1003,320
35,31,475
49,62,66
19,93,474
354,27,375
587,97,80
5,166,51
36,326,74
68,230,364
11,2,45
446,116,70
116,63,157
82,498,133
6,48,9
57,71,47
4,23,80
261,51,231
54,55,203
28,106,22
155,583,45
110,172,18
76,90,45
549,225,38
269,739,101
86,21,1025
180,58,70
360,512,316
46,15,176
393,4,38
326,290,470
172,106,269
2,109,108
86,138,65
97,116,77
126,7,52
46,58,362
370,520,371
40,239,4
269,21,45
895,33,17
96,161,4
172,37,12
262,66,34
5,24,282
41,35,20
67,33,53
432,7,43
44,40,232
141,25,34
36,7,387
5,331,155
333,66,50
291,102,17
249,226,45
49,35,120
35,304,17
326,290,34
894,280,401
40,21,39
543,7,18
16,58,191
126,75,78
419,283,1027
145,55,116
40,378,34
282,218,118
51,831,349
25,632,1
644,40,369
180,200,20
623,70,138
11,269,20
254,535,121
86,21,387
25,120,51
737,162,61
453,223,16
610,138,199
