1144,1753
1315,1597
1658,1132
1793,1290
1315,1208
1621,1777
1340,1322
2266,1633
1212,1492
1658,1763
1658,1140
1170,1208
1290,1894
1483,1926
1340,1753
1818,2056
1800,2056
1246,1290
2005,1305
1396,1449
1212,1188
1432,1322
1432,1528
1658,1217
1222,1753
1621,1848
1144,1290
1319,1597
1793,1848
1195,1188
1614,1589
1432,1350
1241,1804
1340,1871
1817,1492
1614,1137
1241,1975
1144,2005
1894,1305
1222,1208
1132,1290
1432,1871
1306,1188
1658,1492
1962,1440
1975,1379
1137,1290
1633,1307
1234,1958
1528,1305
2005,1290
2005,1492
1140,1763
1614,1871
1481,1410
1848,1440
1322,1319
1181,1975
1379,1217
1140,1753
1777,1307
1481,1763
1132,1894
1993,2306
1800,1494
2350,2037
1658,1410
2005,1894
1763,1753
1340,1432
2354,2037
1528,1963
1340,2119
1658,1221
1706,1116
1800,2369
1379,1804
1181,1137
1993,1636
1481,1140
2005,1217
1818,2119
1137,1975
1753,1597
1410,1492
1137,1492
1568,1440
1140,1492
2350,1307
1137,1241
1432,1597
1636,1379
1432,1481
1817,1217
1804,1217
1306,1597
1975,1492
1257,1970
1257,1492
1658,1753
1408,2109
1738,1322
1116,1523
1137,1217
1753,1290
1804,1492
1432,1492
1340,1350
1793,1137
1222,1492
1614,1319
1322,1492
1718,1449
1396,1440
2106,1894
2266,2037
1432,2119
1181,1241
1137,1208
1144,1350
1440,1926
1626,1926
1962,1449
1315,1188
1408,2172
1483,2037
1140,1804
1234,1492
1208,1290
1658,1144
1481,1597
1528,1319
1483,1307
1350,2119
1140,1319
2350,1963
1804,1410
1144,1305
1658,1181
1144,1894
1926,1633
1955,1449
2005,1528
1568,1449
1614,1432
1658,1975
1137,1753
1440,1595
1140,1379
1140,1597
1307,2037
1170,1319
1738,1777
1246,1597
1322,1350
1208,1188
1753,1305
1208,1597
1848,1449
1195,2005
1962,1955
1137,1804
1290,1305
1246,1188
1144,1597
1848,1595
1481,1350
1658,1804
1658,1379
1181,1379
1481,1528
1626,1633
1234,1290
2056,1494
1804,1597
1614,1208
2350,1362
1144,1322
1818,2369
1212,1528
2047,1706
1132,1305
1595,1955
1137,1188
2266,1307
1140,1217
1793,1322
1753,1188
1170,1350
1432,1319
1763,1492
1217,1597
1440,1449
1212,2005
1322,1528
1793,1350
1170,1528
1568,1233
1793,1144
1962,1595
1355,1753
1483,1217
1753,1410
1636,2306
1195,1597
1614,1597
1528,1188
1195,1208
1212,1217
1633,2037
1557,1592
1305,1597
1222,1958
1871,1350
1181,1804
1871,1319
1818,1494
2005,1188
1137,1350
2047,1116
1140,1410
1212,1975
1975,1804
1222,1290
1658,1137
1217,1188
1753,1804
1379,1492
1208,1955
1763,1410
1234,1753
1481,1319
1440,1955
1195,1528
1408,1958
1626,1924
1432,1137
1686,1188
1614,1528
2005,1132
2350,1926
2350,1633
1595,1449
1871,1322
1753,1492
1137,1379
1137,1958
1212,1379
1597,1188
1975,1753
1483,1633
1246,1217
1315,1137
1170,1432
1144,1492
1170,1963
1350,1319
1170,1871
1753,1379
